scenario_id,title,rationale,stake_at_risk_ada,stake_at_risk_pct,gap_to_26pct,n_pools,n_entities,top_entities
all_hyperscalers,Joint hyperscaler outage (AWS + GCP + Azure),"Upper-bound scenario: all three hyperscalers unreachable simultaneously (e.g., a shared certificate authority compromise or coordinated denial of service against TLS-fronting Akamai).",8830000202,41.75,-15.75,731,468,Coinbase / bison.run (2378M); CHUCK BUX (704M); Binance (655M); Wave / Wavepool (611M); Upbit (604M)
aws_plus_gcp,Correlated AWS + GCP outage,Joint failure scenario: an AWS us-east-1 incident that propagates to GCP through shared DNS / IAM / CA upstreams. This crosses the 25% quorum heuristic and is the most plausible threshold-breaching event observed in the data.,7503194513,35.48,-9.48,622,389,Coinbase / bison.run (2378M); CHUCK BUX (704M); Wave / Wavepool (611M); Upbit (604M); Binance (595M)
aws_full_outage,Complete AWS unavailability (control plane + all regions),"Unprecedented at this scope but used as upper-bound: full AWS absence (BGP withdrawal, root-DNS misconfiguration, or certificate-authority chain failure).",4830501589,22.84,3.16,403,249,Coinbase / bison.run (1250M); CHUCK BUX (704M); Upbit (604M); Binance (595M); YUTA (452M)
ovh_full,Complete OVH outage (multi-datacentre),OVH-wide event such as a billing/identity outage affecting all OVH datacentres simultaneously. OVH is the largest non-hyperscaler concentration on Cardano.,3478802684,16.45,9.55,228,115,Kiln (644M); Everstake (582M); 1PCT (270M); Emurgo (258M); nan (229M)
gcp_global_iam,GCP global IAM / control-plane outage,"Multi-region GCP control-plane events (Jun 2019, Nov 2021, Mar 2024) have made every GCP region simultaneously unreachable for authenticated workloads.",2688375771,12.71,13.29,221,145,Coinbase / bison.run (1128M); Wave / Wavepool (611M); NuFi (300M); Blockdaemon (249M); MS4 (139M)
ovh_sbg_fire,OVH Strasbourg datacentre fire (SBG-style),"Real precedent: March 2021, SBG2 destroyed by fire; SBG1, SBG3, SBG4 went offline for days. Predicate matches OVH stake whose physical datacentre is in France (Roubaix / Strasbourg / Gravelines), excluding OVH's foreign datacentres (Beauharnois, Hillsboro, Singapore, Sydney) which BGP-register to the FR/CA parent block but are not exposed to a Strasbourg-region event.",2616634085,12.37,13.63,161,75,Kiln (644M); Everstake (582M); 1PCT (270M); nan (229M); Emurgo (170M)
frankfurt_metro,Frankfurt metro-area outage (DE-CIX peering point),"DE-CIX (Frankfurt) is one of the largest Internet exchanges; a metro-level power or peering failure affects every datacentre in the Frankfurt cluster simultaneously, regardless of provider.",2392761253,11.31,14.69,83,30,Coinbase / bison.run (988M); Everstake (582M); SECUR (239M); AdaOcean (185M); NEDS1 (112M)
hetzner_full,Complete Hetzner outage,Hetzner (Nuremberg / Falkenstein / Helsinki) is the densest single-pool-operator hoster. A Hetzner-wide event silences a large slice of the long tail.,1721020293,8.14,17.86,223,196,EDEN (162M); TITAN (137M); Spire (103M); HOPE (78M); LCP (68M)
single_region_worst,Single-region worst case (GCP europe-west3 / Frankfurt),The largest single-region concentration observed in the data. Dominated by Coinbase. Bounded by what any one region failure can cost the network.,987951491,4.67,21.33,28,6,Coinbase / bison.run (988M); RAID (0M); VKP (0M); pool1nq0jx33p0 (0M); pool190vx20f4p (0M)
azure_we_outage,Azure westeurope (Amsterdam) regional outage,"Azure westeurope hosts essentially all eToro stake plus other European institutional operators; the region's storage + AAD incidents (Apr 2021, May 2022) silence everything there.",648617889,3.07,22.93,29,10,eToro (472M); DAPP (135M); BANDA (14M); BITA (14M); pool1cc76kmtcp (8M)
aws_us-east-1_cascade,AWS us-east-1 control-plane cascade,"Historically the most consequential AWS region; control-plane events in 2017, 2020 and 2021 cascaded across other AWS regions and into GCP / Azure via shared IAM, STS, and DNS dependencies.",260484465,1.23,24.77,77,67,NEDS1 (112M); YUTA (83M); COSMC (26M); VAMP (16M); pool1lq7t0qg27 (7M)
